Strategy report
Symbol: SPXL
Work Time: 11/4/20 8:35 PM - 12/17/20 2:00 AM


Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 55.964),Sell to Open,-100.0,$55.96,11/4/20 8:35 PM,,($21.60),-100.0,
2,NK_Stochastic_v2Strategy(V2ProfitTgt @ 56.1979),Buy to Close,100.0,$56.20,11/4/20 8:40 PM,($23.39),($23.39),0.0,
3,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 56.35),Sell to Open,-100.0,$56.35,11/4/20 8:45 PM,,($66.39),-100.0,
4,NK_Stochastic_v2Strategy(V2StopLoss @ 56.79),Buy to Close,100.0,$56.79,11/4/20 8:50 PM,($44.00),($67.39),0.0,
5,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 57.03),Sell to Open,-100.0,$57.03,11/4/20 8:55 PM,,($31.39),-100.0,
6,NK_Stochastic_v2Strategy(V2ProfitTgt @ 56.69),Buy to Close,100.0,$56.69,11/4/20 9:00 PM,$34.00,($33.39),0.0,
7,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 56.25),Buy to Open,100.0,$56.25,11/4/20 9:10 PM,,($23.39),100.0,
8,NK_Stochastic_v2Strategy(V2ProfitTgt @ 56.55),Sell to Close,-100.0,$56.55,11/4/20 9:20 PM,$30.00,($3.39),0.0,
9,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 56.93),Sell to Open,-100.0,$56.93,11/4/20 9:25 PM,,($11.39),-100.0,
10,NK_Stochastic_v2Strategy(V2ProfitTgt @ 57),Buy to Close,100.0,$57.00,11/4/20 9:30 PM,($7.00),($10.39),0.0,
11,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 56.95),Sell to Open,-100.0,$56.95,11/4/20 9:35 PM,,$19.61,-100.0,
12,NK_Stochastic_v2Strategy(V2ProfitTgt @ 56.65),Buy to Close,100.0,$56.65,11/4/20 9:40 PM,$30.00,$19.61,0.0,
13,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 56.51),Buy to Open,100.0,$56.51,11/4/20 9:45 PM,,$32.61,100.0,
14,NK_Stochastic_v2Strategy(V2ProfitTgt @ 56.84),Sell to Close,-100.0,$56.84,11/4/20 9:55 PM,$33.00,$52.61,0.0,
15,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 56.9005),Sell to Open,-100.0,$56.90,11/4/20 10:00 PM,,$37.66,-100.0,
16,NK_Stochastic_v2Strategy(V2ProfitTgt @ 57.06),Buy to Close,100.0,$57.06,11/4/20 10:05 PM,($15.95),$36.66,0.0,
17,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 57.55),Sell to Open,-100.0,$57.55,11/4/20 10:35 PM,,$55.35,-100.0,
18,NK_Stochastic_v2Strategy(V2ProfitTgt @ 57.35),Buy to Close,100.0,$57.35,11/4/20 10:40 PM,$20.00,$56.66,0.0,
19,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 57.93),Sell to Open,-100.0,$57.93,11/4/20 10:55 PM,,$77.67,-100.0,
20,NK_Stochastic_v2Strategy(V2ProfitTgt @ 57.71),Buy to Close,100.0,$57.71,11/4/20 11:00 PM,$22.00,$78.66,0.0,
21,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 57.47),Buy to Open,100.0,$57.47,11/4/20 11:25 PM,,$78.66,100.0,
22,NK_Stochastic_v2Strategy(V2StopLoss @ 57.24),Sell to Close,-100.0,$57.24,11/4/20 11:40 PM,($23.00),$55.66,0.0,
23,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 57.51),Sell to Open,-100.0,$57.51,11/5/20 12:10 AM,,$111.66,-100.0,
24,NK_Stochastic_v2Strategy(V2ProfitTgt @ 56.97),Buy to Close,100.0,$56.97,11/5/20 12:15 AM,$54.00,$109.66,0.0,
25,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 56.95),Buy to Open,100.0,$56.95,11/5/20 12:20 AM,,$121.66,100.0,
26,NK_Stochastic_v2Strategy(V2StopLoss @ 56.93),Sell to Close,-100.0,$56.93,11/5/20 12:35 AM,($2.00),$107.66,0.0,
27,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 56.931),Buy to Open,100.0,$56.93,11/5/20 1:10 AM,,$79.56,100.0,
28,NK_Stochastic_v2Strategy(V2StopLoss @ 56.65),Sell to Close,-100.0,$56.65,11/5/20 1:15 AM,($28.10),$79.56,0.0,
29,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 56.07),Buy to Open,100.0,$56.07,11/5/20 1:50 AM,,$96.56,100.0,
30,NK_Stochastic_v2Strategy(V2StopLoss @ 56.04),Sell to Close,-100.0,$56.04,11/5/20 2:00 AM,($3.00),$76.56,0.0,
31,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 59.63),Sell to Open,-100.0,$59.63,11/5/20 8:45 PM,,$30.77,-100.0,
32,NK_Stochastic_v2Strategy(V2StopLoss @ 60.0666),Buy to Close,100.0,$60.07,11/5/20 8:50 PM,($43.66),$32.90,0.0,
33,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 59.99),Sell to Open,-100.0,$59.99,11/5/20 8:55 PM,,$80.90,-100.0,
34,NK_Stochastic_v2Strategy(V2ProfitTgt @ 59.56),Buy to Close,100.0,$59.56,11/5/20 9:00 PM,$43.00,$75.90,0.0,
35,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 59.58),Buy to Open,100.0,$59.58,11/5/20 9:05 PM,,$67.90,100.0,
36,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 59.83),Sell to Close,-100.0,$59.83,11/5/20 9:25 PM,$25.00,$100.90,0.0,
37,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 59.83),Sell to Open,-100.0,$59.83,11/5/20 9:25 PM,,$93.91,-100.0,
38,NK_Stochastic_v2Strategy(V2ProfitTgt @ 59.9),Buy to Close,100.0,$59.90,11/5/20 9:30 PM,($7.00),$93.90,0.0,
39,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 59.58),Buy to Open,100.0,$59.58,11/5/20 9:40 PM,,$96.90,100.0,
40,NK_Stochastic_v2Strategy(V2StopLoss @ 59.63),Sell to Close,-100.0,$59.63,11/5/20 10:00 PM,$5.00,$98.90,0.0,
41,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 59.4),Buy to Open,100.0,$59.40,11/5/20 10:15 PM,,$109.90,100.0,
42,NK_Stochastic_v2Strategy(V2StopLoss @ 59.24),Sell to Close,-100.0,$59.24,11/5/20 10:30 PM,($16.00),$82.90,0.0,
43,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 58.6399),Buy to Open,100.0,$58.64,11/5/20 10:55 PM,,$82.91,100.0,
44,NK_Stochastic_v2Strategy(V2ProfitTgt @ 58.9684),Sell to Close,-100.0,$58.97,11/5/20 11:10 PM,$32.85,$115.75,0.0,
