Strategy report
Symbol: SPY
Work Time: 11/4/20 8:35 PM - 12/17/20 2:00 AM


Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 343.62),Sell to Open,-100.0,$343.62,11/4/20 8:35 PM,,($46.00),-100.0,
2,NK_Stochastic_v2Strategy(V2ProfitTgt @ 344.08),Buy to Close,100.0,$344.08,11/4/20 8:40 PM,($46.00),($46.00),0.0,
3,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 344.42),Sell to Open,-100.0,$344.42,11/4/20 8:45 PM,,($140.00),-100.0,
4,NK_Stochastic_v2Strategy(V2ProfitTgt @ 345.37),Buy to Close,100.0,$345.37,11/4/20 8:50 PM,($95.00),($141.00),0.0,
5,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 345.83),Sell to Open,-100.0,$345.83,11/4/20 8:55 PM,,($69.00),-100.0,
6,NK_Stochastic_v2Strategy(V2ProfitTgt @ 345.11),Buy to Close,100.0,$345.11,11/4/20 9:00 PM,$72.00,($69.00),0.0,
7,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 344.205),Buy to Open,100.0,$344.21,11/4/20 9:10 PM,,($47.50),100.0,
8,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 345.65),Sell to Close,-100.0,$345.65,11/4/20 9:25 PM,$144.50,$75.50,0.0,
9,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 345.65),Sell to Open,-100.0,$345.65,11/4/20 9:25 PM,,$55.50,-100.0,
10,NK_Stochastic_v2Strategy(V2ProfitTgt @ 345.84),Buy to Close,100.0,$345.84,11/4/20 9:30 PM,($19.00),$56.50,0.0,
11,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 345.7),Sell to Open,-100.0,$345.70,11/4/20 9:35 PM,,$122.50,-100.0,
12,NK_Stochastic_v2Strategy(V2ProfitTgt @ 345.03),Buy to Close,100.0,$345.03,11/4/20 9:40 PM,$67.00,$123.50,0.0,
13,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 344.69),Buy to Open,100.0,$344.69,11/4/20 9:45 PM,,$159.50,100.0,
14,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 345.55),Sell to Close,-100.0,$345.55,11/4/20 10:00 PM,$86.00,$209.50,0.0,
15,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 345.55),Sell to Open,-100.0,$345.55,11/4/20 10:00 PM,,$172.50,-100.0,
16,NK_Stochastic_v2Strategy(V2ProfitTgt @ 345.92),Buy to Close,100.0,$345.92,11/4/20 10:05 PM,($37.00),$172.50,0.0,
17,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 347.005),Sell to Open,-100.0,$347.01,11/4/20 10:35 PM,,$213.00,-100.0,
18,NK_Stochastic_v2Strategy(V2ProfitTgt @ 346.59),Buy to Close,100.0,$346.59,11/4/20 10:40 PM,$41.50,$214.00,0.0,
19,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 347.82),Sell to Open,-100.0,$347.82,11/4/20 10:55 PM,,$264.00,-100.0,
20,NK_Stochastic_v2Strategy(V2ProfitTgt @ 347.37),Buy to Close,100.0,$347.37,11/4/20 11:00 PM,$45.00,$259.00,0.0,
21,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 346.795),Buy to Open,100.0,$346.80,11/4/20 11:25 PM,,$255.50,100.0,
22,NK_Stochastic_v2Strategy(V2StopLoss @ 346.16),Sell to Close,-100.0,$346.16,11/4/20 11:50 PM,($63.50),$195.50,0.0,
23,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 346.89),Sell to Open,-100.0,$346.89,11/5/20 12:10 AM,,$313.50,-100.0,
24,NK_Stochastic_v2Strategy(V2ProfitTgt @ 345.72),Buy to Close,100.0,$345.72,11/5/20 12:15 AM,$117.00,$312.50,0.0,
25,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 345.71),Buy to Open,100.0,$345.71,11/5/20 12:20 AM,,$336.50,100.0,
26,NK_Stochastic_v2Strategy(V2StopLoss @ 345.654),Sell to Close,-100.0,$345.65,11/5/20 12:35 AM,($5.60),$306.90,0.0,
27,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 345.05),Buy to Open,100.0,$345.05,11/5/20 1:15 AM,,$318.90,100.0,
28,NK_Stochastic_v2Strategy(V2StopLoss @ 344.69),Sell to Close,-100.0,$344.69,11/5/20 1:35 AM,($36.00),$270.90,0.0,
29,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 343.83),Buy to Open,100.0,$343.83,11/5/20 1:50 AM,,$307.06,100.0,
30,NK_Stochastic_v2Strategy(V2StopLoss @ 343.78),Sell to Close,-100.0,$343.78,11/5/20 2:15 AM,($5.00),$265.90,0.0,
31,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 351.03),Sell to Open,-100.0,$351.03,11/5/20 8:45 PM,,$166.90,-100.0,
32,NK_Stochastic_v2Strategy(V2ProfitTgt @ 352.02),Buy to Close,100.0,$352.02,11/5/20 8:50 PM,($99.00),$166.90,0.0,
33,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 351.82),Sell to Open,-100.0,$351.82,11/5/20 8:55 PM,,$262.90,-100.0,
34,NK_Stochastic_v2Strategy(V2ProfitTgt @ 350.86),Buy to Close,100.0,$350.86,11/5/20 9:00 PM,$96.00,$262.90,0.0,
35,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 351.03),Buy to Open,100.0,$351.03,11/5/20 9:05 PM,,$241.90,100.0,
36,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 351.5),Sell to Close,-100.0,$351.50,11/5/20 9:25 PM,$47.00,$309.90,0.0,
37,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 351.5),Sell to Open,-100.0,$351.50,11/5/20 9:25 PM,,$293.90,-100.0,
38,NK_Stochastic_v2Strategy(V2ProfitTgt @ 351.66),Buy to Close,100.0,$351.66,11/5/20 9:30 PM,($16.00),$293.90,0.0,
39,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 351.055),Buy to Open,100.0,$351.06,11/5/20 9:40 PM,,$296.21,100.0,
40,NK_Stochastic_v2Strategy(V2StopLoss @ 351.1),Sell to Close,-100.0,$351.10,11/5/20 10:00 PM,$4.50,$298.40,0.0,
41,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 350.63),Buy to Open,100.0,$350.63,11/5/20 10:15 PM,,$320.41,100.0,
42,NK_Stochastic_v2Strategy(V2StopLoss @ 350.28),Sell to Close,-100.0,$350.28,11/5/20 10:30 PM,($35.00),$263.40,0.0,
43,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 349.08),Buy to Open,100.0,$349.08,11/5/20 10:55 PM,,$264.40,100.0,
44,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 349.91),Sell to Close,-100.0,$349.91,11/5/20 11:15 PM,$83.00,$346.40,0.0,
45,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 349.91),Sell to Open,-100.0,$349.91,11/5/20 11:15 PM,,$313.90,-100.0,
46,NK_Stochastic_v2Strategy(V2ProfitTgt @ 350.24),Buy to Close,100.0,$350.24,11/5/20 11:20 PM,($33.00),$313.40,0.0,
47,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 350.34),Sell to Open,-100.0,$350.34,11/5/20 11:25 PM,,$296.40,-100.0,
48,NK_Stochastic_v2Strategy(V2ProfitTgt @ 350.51),Buy to Close,100.0,$350.51,11/5/20 11:30 PM,($17.00),$296.40,0.0,
49,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 350.953),Sell to Open,-100.0,$350.95,11/5/20 11:35 PM,,$300.20,-100.0,
50,NK_Stochastic_v2Strategy(V2ProfitTgt @ 350.91),Buy to Close,100.0,$350.91,11/5/20 11:40 PM,$4.30,$300.70,0.0,
51,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 351.31),Sell to Open,-100.0,$351.31,11/6/20 12:15 AM,,$313.70,-100.0,
52,NK_Stochastic_v2Strategy(V2ProfitTgt @ 351.18),Buy to Close,100.0,$351.18,11/6/20 12:20 AM,$13.00,$313.70,0.0,
53,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 351.41),Sell to Open,-100.0,$351.41,11/6/20 1:00 AM,,$299.70,-100.0,
54,NK_Stochastic_v2Strategy(V2ProfitTgt @ 351.54),Buy to Close,100.0,$351.54,11/6/20 1:05 AM,($13.00),$300.70,0.0,
55,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 350.78),Buy to Open,100.0,$350.78,11/6/20 1:45 AM,,$299.70,100.0,
56,NK_Stochastic_v2Strategy(V2StopLoss @ 350.78),Sell to Close,-100.0,$350.78,11/6/20 1:50 AM,$0.00,$300.70,0.0,
57,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 349.905),Buy to Open,100.0,$349.91,11/6/20 2:10 AM,,$309.20,100.0,
58,NK_Stochastic_v2Strategy(V2ProfitTgt @ 350.36),Sell to Close,-100.0,$350.36,11/6/20 2:35 AM,$45.50,$346.20,0.0,
59,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 349.41),Sell to Open,-100.0,$349.41,11/6/20 8:45 PM,,$334.20,-100.0,
60,NK_Stochastic_v2Strategy(V2ProfitTgt @ 349.53),Buy to Close,100.0,$349.53,11/6/20 8:50 PM,($12.00),$334.20,0.0,
61,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 349.81),Sell to Open,-100.0,$349.81,11/6/20 8:55 PM,,$333.09,-100.0,
62,NK_Stochastic_v2Strategy(V2ProfitTgt @ 349.81),Buy to Close,100.0,$349.81,11/6/20 9:00 PM,$0.00,$334.20,0.0,
63,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 349.36),Buy to Open,100.0,$349.36,11/6/20 9:10 PM,,$369.70,100.0,
64,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 350.43),Sell to Close,-100.0,$350.43,11/6/20 9:25 PM,$107.00,$441.20,0.0,
65,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 350.43),Sell to Open,-100.0,$350.43,11/6/20 9:25 PM,,$595.54,-100.0,
66,NK_Stochastic_v2Strategy(V2ProfitTgt @ 348.87),Buy to Close,100.0,$348.87,11/6/20 9:30 PM,$156.00,$597.20,0.0,
67,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 350.55),Sell to Open,-100.0,$350.55,11/6/20 9:40 PM,,$666.20,-100.0,
68,NK_Stochastic_v2Strategy(V2ProfitTgt @ 349.86),Buy to Close,100.0,$349.86,11/6/20 9:45 PM,$69.00,$666.20,0.0,
69,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 350.13),Sell to Open,-100.0,$350.13,11/6/20 10:05 PM,,$636.20,-100.0,
70,NK_Stochastic_v2Strategy(V2ProfitTgt @ 350.44),Buy to Close,100.0,$350.44,11/6/20 10:10 PM,($31.00),$635.20,0.0,
71,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 350.37),Sell to Open,-100.0,$350.37,11/6/20 10:15 PM,,$638.20,-100.0,
72,NK_Stochastic_v2Strategy(V2ProfitTgt @ 350.3218),Buy to Close,100.0,$350.32,11/6/20 10:20 PM,$4.82,$640.02,0.0,
73,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 349.94),Buy to Open,100.0,$349.94,11/6/20 10:50 PM,,$636.02,100.0,
74,NK_Stochastic_v2Strategy(V2StopLoss @ 349.9),Sell to Close,-100.0,$349.90,11/6/20 10:55 PM,($4.00),$636.02,0.0,
75,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 350.1213),Sell to Open,-100.0,$350.12,11/6/20 11:20 PM,,$626.15,-100.0,
76,NK_Stochastic_v2Strategy(V2ProfitTgt @ 350.22),Buy to Close,100.0,$350.22,11/6/20 11:25 PM,($9.87),$626.15,0.0,
77,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 350.37),Sell to Open,-100.0,$350.37,11/6/20 11:40 PM,,$603.15,-100.0,
78,NK_Stochastic_v2Strategy(V2ProfitTgt @ 350.6),Buy to Close,100.0,$350.60,11/6/20 11:45 PM,($23.00),$603.15,0.0,
79,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 350.6),Sell to Open,-100.0,$350.60,11/6/20 11:50 PM,,$616.15,-100.0,
80,NK_Stochastic_v2Strategy(V2ProfitTgt @ 350.49),Buy to Close,100.0,$350.49,11/6/20 11:55 PM,$11.00,$614.15,0.0,
81,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 350.65),Sell to Open,-100.0,$350.65,11/7/20 12:45 AM,,$618.65,-100.0,
82,NK_Stochastic_v2Strategy(V2ProfitTgt @ 350.6),Buy to Close,100.0,$350.60,11/7/20 12:50 AM,$5.00,$619.15,0.0,
83,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 349.97),Buy to Open,100.0,$349.97,11/7/20 1:15 AM,,$613.15,100.0,
84,NK_Stochastic_v2Strategy(V2StopLoss @ 349.575),Sell to Close,-100.0,$349.58,11/7/20 1:35 AM,($39.50),$579.65,0.0,
85,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 350.26),Sell to Open,-100.0,$350.26,11/7/20 2:05 AM,,$571.65,-100.0,
86,NK_Stochastic_v2Strategy(V2ProfitTgt @ 350.33),Buy to Close,100.0,$350.33,11/7/20 2:10 AM,($7.00),$572.65,0.0,
87,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 350.92),Sell to Open,-100.0,$350.92,11/7/20 2:15 AM,,$527.65,-100.0,
88,NK_Stochastic_v2Strategy(V2ProfitTgt @ 351.39),Buy to Close,100.0,$351.39,11/7/20 2:20 AM,($47.00),$525.65,0.0,
89,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 361.51),Buy to Open,100.0,$361.51,11/9/20 9:05 PM,,$402.65,100.0,
90,NK_Stochastic_v2Strategy(V2StopLoss @ 360.29),Sell to Close,-100.0,$360.29,11/9/20 9:10 PM,($122.00),$403.65,0.0,
91,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 360.52),Buy to Open,100.0,$360.52,11/9/20 9:15 PM,,$308.65,100.0,
92,NK_Stochastic_v2Strategy(V2StopLoss @ 359.56),Sell to Close,-100.0,$359.56,11/9/20 9:20 PM,($96.00),$307.65,0.0,
93,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 360.485),Sell to Open,-100.0,$360.49,11/9/20 10:00 PM,,$322.15,-100.0,
94,NK_Stochastic_v2Strategy(V2ProfitTgt @ 360.36),Buy to Close,100.0,$360.36,11/9/20 10:05 PM,$12.50,$320.15,0.0,
