Strategy report
Symbol: TSLA
Work Time: 11/4/20 8:45 PM - 12/17/20 2:00 AM


Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 423.84),Sell to Open,-100.0,$423.84,11/4/20 8:45 PM,,$61.76,-100.0,
2,NK_Stochastic_v2Strategy(V2ProfitTgt @ 423.2319),Buy to Close,100.0,$423.23,11/4/20 8:50 PM,$60.81,$60.81,0.0,
3,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 426.99),Sell to Open,-100.0,$426.99,11/4/20 8:55 PM,,$258.96,-100.0,
4,NK_Stochastic_v2Strategy(V2ProfitTgt @ 425.03),Buy to Close,100.0,$425.03,11/4/20 9:00 PM,$196.00,$256.81,0.0,
5,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 420.3429),Buy to Open,100.0,$420.34,11/4/20 9:35 PM,,$220.52,100.0,
6,NK_Stochastic_v2Strategy(V2StopLoss @ 420),Sell to Close,-100.0,$420.00,11/4/20 9:40 PM,($34.29),$222.52,0.0,
7,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 420.425),Buy to Open,100.0,$420.43,11/4/20 9:45 PM,,$371.89,100.0,
8,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 422.41),Sell to Close,-100.0,$422.41,11/4/20 9:55 PM,$198.50,$421.02,0.0,
9,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 422.41),Sell to Open,-100.0,$422.41,11/4/20 9:55 PM,,$485.02,-100.0,
10,NK_Stochastic_v2Strategy(V2ProfitTgt @ 421.86),Buy to Close,100.0,$421.86,11/4/20 10:00 PM,$55.00,$476.02,0.0,
11,NK_Stochastic_v2Strategy(V2Stoch Crossover Short @ 423.91),Sell to Open,-100.0,$423.91,11/4/20 10:10 PM,,$543.86,-100.0,
12,NK_Stochastic_v2Strategy(V2ProfitTgt @ 423.17),Buy to Close,100.0,$423.17,11/4/20 10:15 PM,$74.00,$550.02,0.0,
13,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 424.0092),Buy to Open,100.0,$424.01,11/4/20 11:35 PM,,$436.10,100.0,
14,NK_Stochastic_v2Strategy(V2StopLoss @ 422.864),Sell to Close,-100.0,$422.86,11/4/20 11:40 PM,($114.52),$435.50,0.0,
15,NK_Stochastic_v2Strategy(V2Stoch Crossover Long @ 419.16),Buy to Open,100.0,$419.16,11/5/20 12:15 AM,,$494.49,100.0,
